,Company name,CEO
0,CONG TY TNHH SAMSUNG ELECTRONICS VIET NAM THAI NGUYEN ,['>Kim Dongwook<']
1,TAP DOAN DIEN LUC VIET NAM ,['>Trần Đ&#236;nh Nh&#226;n<']
2,TAP DOAN DAU KHI VIET NAM ,['>L&#234; Mạnh H&#249;ng<']
3,TAP DOAN CONG NGHIEP  VIEN THONG QUAN DOI ,['>L&#234; Đăng Dũng<']
4,TAP DOAN VINGROUP  CTCP ,['>Nguyễn Việt Quang<']
5,NGAN HANG NONG NGHIEP VA PHAT TRIEN NONG THON VIET NAM ,['>Tiết Văn Th&#224;nh<']
6,TAP DOAN XANG DAU VIET NAM ,['>Phạm Đức Thắng<']
7,NGAN HANG TMCP DAU TU VA PHAT TRIEN VIET NAM ,['>L&#234; Ngọc L&#226;m<']
8,CONG TY CP DAU TU THE GIOI DI DONG ,['>Trần Kinh Doanh<']
9,TAP DOAN CONG NGHIEP THAN  KHOANG SAN VIET NAM ,['>Đặng Thanh Hải<']
10,CONG TY CP TAP DOAN VANG BAC DA QUY DOJI ,['>Đỗ Minh Đức<']
11,NGAN HANG TMCP CONG THUONG VIET NAM ,['>Trần Minh B&#236;nh<']
12,CONG TY CP TAP DOAN HOA PHAT ,['>Nguyễn Việt Thắng<']
13,NGAN HANG TMCP NGOAI THUONG VIET NAM ,['>Phạm Quang Dũng<']
14,CONG TY CP TAP DOAN MASAN  ,['>Danny L&#234;<']
15,CONG TY CP CHAN NUOI CP VIET NAM ,['>Montri Suwanposri<']
16,TONG CONG TY KHI VIET NAM  CTCP ,['>Ho&#224;ng Văn Quang <']
17,CONG TY CP OTO TRUONG HAI  ,['>Nguyễn H&#249;ng Minh<']
18,NGAN HANG TMCP VIET NAM THINH VUONG ,['>Nguyễn Đức Vinh<']
19,CONG TY CP SUA VIET NAM ,['>Mai Kiều Li&#234;n<']
20,TAP DOAN BUU CHINH VIEN THONG VIET NAM ,['>Phạm Đức Long<']
21,NGAN HANG TMCP SAI GON ,['>Trương Kh&#225;nh Ho&#224;ng <']
22,NGAN HANG TMCP QUAN DOI ,['>Lưu Trung Th&#225;i<']
23,TAP DOAN BAO VIET ,['>Nguyễn Quang Phi<']
24,CONG TY CP TAP DOAN THANH CONG ,['>Nguyễn Anh Tuấn<']
25,TONG CONG TY HANG KHONG VIET NAM  CTCP ,['>L&#234; Hồng H&#224;<']
26,TONG CONG TY DICH VU VIEN THONG ,['>Nguyễn Trường Giang<']
27,NGAN HANG TMCP KY THUONG VIET NAM  ,['>Jens Lottner<']
28,NGAN HANG TMCP SAI GON THUONG TIN ,['>Nguyễn Đức Thạch Diễm<']
29,TONG CONG TY PHAT DIEN 3  CTCP ,['>L&#234; Văn Danh<']
30,TONG CONG TY PHAT DIEN 1 ,['>Nguyễn Khắc Sơn<']
31,CONG TY TNHH INTEL PRODUCTS VIET NAM ,['>Ooi Kim Huat<']
32,CONG TY CP TAP DOAN INTIMEX ,['>Đỗ H&#224; Nam<']
33,NGAN HANG TMCP A CHAU ,['>Đỗ Minh To&#224;n<']
34,TONG CONG TY BAO VIET NHAN THO ,['>Phạm Ngọc Sơn<']
35,CONG TY TNHH BAO HIEM NHAN THO PRUDENTIAL VIET NAM ,['>Phương Tiến Minh<']
36,NGAN HANG TMCP SAI GON  HA NOI ,['>Nguyễn Văn L&#234;<']
37,LIEN HIEP HOP TAC XA THUONG MAI TP HO CHI MINH COOP MART ,['>Nguyễn Anh Đức<']
38,CONG TY TNHH QUOC TE UNILEVER VIET NAM ,['>JV Raman<']
39,TONG CONG TY VIEN THONG MOBIFONE ,['>T&#244; Mạnh Cường<']
40,TONG CONG TY THEP VIET NAM  CTCP ,['>Nguyễn Đ&#236;nh Ph&#250;c<']
41,CONG TY CP FPT ,['>Nguyễn Văn Khoa<']
42,TONG CONG TY DIEN LUC DAU KHI VIET NAM  CTCP ,['>Nguyễn Xu&#226;n H&#242;a<']
43,TONG CONG TY CP BIA RUOU NUOC GIAI KHAT SAI GON  ,['>Neo Gim Siong Bennett<']
44,TONG CONG TY XI MANG VIET NAM ,['>B&#249;i Hồng Minh<']
45,CONG TY CP TAP DOAN HOA SEN ,['>Trần Quốc Tr&#237; <']
46,TONG CONG TY PHAT DIEN 2  CTCP ,['>Ng&#244; Việt Hải<']
47,LIEN DOANH VIET  NGA VIETSOVPETRO ,['>Nguyễn Quỳnh L&#226;m<']
48,TAP DOAN CONG NGHIEP CAO SU VIET NAM  CTCP ,['>Huỳnh Văn Bảo<']
49,NGAN HANG TMCP PHAT TRIEN TP HO CHI MINH ,['>Phạm Quốc Thanh<']
50,CONG TY TNHH MTV VANG BAC DA QUY SAI GON  SJC ,['>L&#234; Th&#250;y Hằng<']
51,CONG TY CP HANG TIEU DUNG MASAN MASAN CONSUMER ,['>Trương C&#244;ng Thắng<']
52,CONG TY TNHH MTV TONG CONG TY TAN CANG SAI GON ,['>Ng&#244; Minh Thuấn<']
53,TONG CONG TY BUU DIEN VIET NAM ,['>Chu Quang H&#224;o<']
54,CONG TY TNHH ZUELLIG PHARMA VIET NAM ,['>Charles Antoine Gloor<']
55,TONG CONG TY CP DICH VU KY THUAT DAU KHI VIET NAM ,['>L&#234; Mạnh Cường<']
56,CONG TY CP HANG KHONG VIETJET ,['>Nguyễn Thị Phương Thảo<']
57,NGAN HANG TMCP QUOC TE VIET NAM ,['>H&#224;n Ngọc Vũ<']
58,TONG CONG TY CP DAU TU QUOC TE VIETTEL ,['>Nguyễn Duy Thọ<']
59,CONG TY CP TAP DOAN HOA BINH MINH ,['>B&#249;i Minh Lực<']
60,CONG TY TNHH ONG THEP HOA PHAT ,['>Nguyễn Mạnh Tuấn<']
61,CONG TY TNHH NUOC GIAI KHAT SUNTORY PEPSICO VIET NAM ,['>Uday Shankar Sinha<']
62,TONG CONG TY THUOC LA VIET NAM ,['>Trần Sơn Ch&#226;u<']
63,NGAN HANG TMCP BUU DIEN LIEN VIET ,['>Phạm Do&#227;n Sơn<']
64,CONG TY CP TAP DOAN FLC ,['>Hương Trần Kiều Dung<']
65,CONG TY CP TAP DOAN GELEX ,['>Nguyễn Văn Tuấn<']
66,TONG CONG TY DONG BAC ,['>Phạm Ngọc Tuyển<']
67,NGAN HANG TMCP TIEN PHONG ,['>Nguyễn Hưng<']
68,CONG TY TAI CHINH TNHH NGAN HANG VIET NAM THINH VUONG SMBC ,['>Kalidas Ghose<']
69,TONG CONG TY TRUYEN TAI DIEN QUOC GIA ,['>Nguyễn Mạnh H&#249;ng<']
70,CONG TY CP STAVIAN HOA CHAT ,['>Nguyễn Minh T&#250;<']
71,TAP DOAN CENTRAL RETAIL VIET NAM ,['>Olivier Langlet<']
72,CONG TY CP VANG BAC DA QUY PHU NHUAN ,['>L&#234; Tr&#237; Th&#244;ng<']
73,CONG TY CP GIAI PHAP THANH TOAN VIET NAM ,['>L&#234; T&#225;nh<']
74,CONG TY TNHH OLAM VIET NAM ,['>Amit Verma<']
75,TONG CONG TY CP BUU CHINH VIETTEL ,['>Trần Trung Hưng<']
76,CONG TY CP MASAN MEATLIFE ,['>Phạm Trung L&#226;m<']
